"","Normal","Tumor"
"ENSG00000000003.16",0.549201,3.741036
"ENSG00000000005.6",2.082537,1.024186
"ENSG00000000419.14",18.911586,16.019033
"ENSG00000000457.14",2.312968,1.992445
"ENSG00000000460.17",9.354586,2.626209
"ENSG00000000938.13",0,0.435667
"ENSG00000000971.17",45.48711,12.520821
"ENSG00000001036.14",0,0.455749
"ENSG00000001084.13",10.889772,12.946904
"ENSG00000001167.15",0.8613,0.947704
"ENSG00000001460.18",9.279004,9.127056
"ENSG00000001461.17",2.438447,10.143329
"ENSG00000001497.18",17.201599,4.128447
"ENSG00000001561.7",0,0.220967
"ENSG00000001617.12",6.669204,6.444468
"ENSG00000001626.18",3.996202,6.311463
"ENSG00000001629.10",1.158819,2.025706
"ENSG00000001630.18",14.717574,11.18693
"ENSG00000001631.17",20.179323,9.063122
"ENSG00000002016.18",1.009261,2.971311
"ENSG00000002079.15",0,0.309791
"ENSG00000002330.14",0,5.734959
"ENSG00000002549.13",0,6.32246
"ENSG00000002586.20",14.479566,13.120119
"ENSG00000002587.10",0.718895,2.834234
"ENSG00000002726.21",0,3.150998
"ENSG00000002745.13",0.653827,0.670309
"ENSG00000002746.15",2.609612,15.782206
"ENSG00000002822.16",16.586406,14.959237
"ENSG00000002834.19",6.731635,4.504573
"ENSG00000002919.15",1.934728,2.201193
"ENSG00000002933.9",6.269981,7.149993
"ENSG00000003056.8",5.410661,3.793742
"ENSG00000003096.15",1.948597,0.636792
"ENSG00000003137.9",0.679702,5.089832
"ENSG00000003147.19",11.691058,6.568329
"ENSG00000003249.15",3.936522,0.929623
"ENSG00000003393.16",30.587983,23.924713
"ENSG00000003400.16",17.795992,11.796975
"ENSG00000003402.21",42.766942,80.110923
"ENSG00000003436.16",43.853776,15.11997
"ENSG00000003509.16",4.202242,3.916324
"ENSG00000003756.17",32.762373,28.560884
"ENSG00000003987.14",2.381861,3.188535
"ENSG00000003989.18",0.965854,0.922054
"ENSG00000004059.11",2.659773,1.283452
"ENSG00000004139.14",3.381305,2.948964
"ENSG00000004142.12",0,1.339592
"ENSG00000004399.13",1.819782,4.741548
"ENSG00000004455.18",17.961584,12.126323
"ENSG00000004468.13",1.47419,2.858737
"ENSG00000004478.8",15.815064,2.692328
"ENSG00000004487.18",17.591644,14.39757
"ENSG00000004534.15",40.340481,28.319853
"ENSG00000004660.15",11.24681,4.397583
"ENSG00000004700.16",0.290381,1.865996
"ENSG00000004766.17",12.468864,8.306696
"ENSG00000004776.13",1.059396,1.790069
"ENSG00000004777.19",0,4.513561
"ENSG00000004779.10",4.030364,6.143621
"ENSG00000004799.8",3.399874,7.757292
"ENSG00000004809.14",0,4.828964
"ENSG00000004838.14",0,2.778114
"ENSG00000004846.17",3.790985,5.463531
"ENSG00000004848.8",2.183975,0.367855
"ENSG00000004864.14",15.058135,1.653405
"ENSG00000004866.22",2.028246,3.991797
"ENSG00000004897.12",330.13071,296.982372
"ENSG00000004939.16",15.984726,9.182786
"ENSG00000004948.16",0.179227,0.213181
"ENSG00000004961.15",1.26542,1.101226
"ENSG00000004975.12",9.888944,6.531571
"ENSG00000005001.10",3.492928,1.534622
"ENSG00000005007.14",0.714088,4.372861
"ENSG00000005020.13",5.383281,4.391679
"ENSG00000005022.6",7.881434,3.389875
"ENSG00000005059.16",0,2.639422
"ENSG00000005073.6",1.855846,1.610416
"ENSG00000005075.16",0,2.381418
"ENSG00000005100.13",1.94277,1.465964
"ENSG00000005102.14",0,0.267475
"ENSG00000005108.17",1.664968,0.499621
"ENSG00000005156.12",18.332985,5.636926
"ENSG00000005175.10",0,3.577519
"ENSG00000005187.12",9.428416,9.375499
"ENSG00000005189.20",0,2.285833
"ENSG00000005194.15",6.140716,3.286415
"ENSG00000005206.17",0.432285,19.405319
"ENSG00000005238.20",1.384521,0.468768
"ENSG00000005243.10",0,10.838516
"ENSG00000005249.14",21.064215,8.24434
"ENSG00000005302.19",0.877991,2.76128
"ENSG00000005339.15",4.676501,18.149538
"ENSG00000005379.17",1.514361,5.860665
"ENSG00000005381.9",2.100404,0.562185
"ENSG00000005421.9",2.992548,2.354816
"ENSG00000005436.14",0.37754,4.374902
"ENSG00000005448.17",2.813605,2.300865
"ENSG00000005469.12",4.415942,2.737905
"ENSG00000005471.19",4.776309,8.030417
"ENSG00000005483.23",22.278211,4.997371
"ENSG00000005486.17",4.880615,2.412195
"ENSG00000005513.11",1.076266,0.870851
"ENSG00000005700.15",3.471526,2.799492
"ENSG00000005801.18",25.838554,17.818526
"ENSG00000005810.20",125.189641,51.116155
"ENSG00000005812.11",0,2.868617
"ENSG00000005844.19",13.172574,16.760809
"ENSG00000005882.12",9.888944,9.042092
"ENSG00000005884.18",9.283199,10.048219
"ENSG00000005889.16",3.917421,2.584914
"ENSG00000005893.17",6.015654,3.521575
"ENSG00000005961.19",3.749309,0.881852
"ENSG00000005981.13",1.27056,2.295441
"ENSG00000006007.12",0,0.439673
"ENSG00000006015.18",41.066838,21.739782
"ENSG00000006016.12",0,7.176939
"ENSG00000006025.13",2.567799,1.672545
"ENSG00000006042.12",41.929046,17.793004
"ENSG00000006047.13",0.298164,0.752166
"ENSG00000006059.4",0,0
"ENSG00000006062.18",0,0.821589
"ENSG00000006071.16",10.400749,15.09465
"ENSG00000006116.4",0,1.168773
"ENSG00000006118.15",6.126702,8.148689
"ENSG00000006125.18",1.294864,5.908114
"ENSG00000006128.12",0,4.091577
"ENSG00000006194.11",0.274916,2.317472
"ENSG00000006210.7",1.58786,2.028068
"ENSG00000006282.22",2.366305,9.643921
"ENSG00000006283.18",0.827941,1.961078
"ENSG00000006327.14",6.733767,0.910412
"ENSG00000006377.11",0,3.090199
"ENSG00000006432.16",26.245828,4.933431
