"","Normal","Tumor"
"ENSG00000000003.16",5.85621336713631,6.61722676177343
"ENSG00000000419.14",7.10342471004294,7.25411874921992
"ENSG00000000457.14",6.47822226134922,6.59215990954606
"ENSG00000000460.17",7.00962420826045,6.49390101245248
"ENSG00000000971.17",8.15979354332618,7.3151212173497
"ENSG00000001084.13",6.90189701436328,7.29789760234346
"ENSG00000001167.15",6.04878530855122,6.19300585865662
"ENSG00000001460.18",6.84527030532594,7.08177496075073
"ENSG00000001461.17",6.20022139105242,7.15322052422493
"ENSG00000001497.18",7.76780820968015,6.92228006421479
"ENSG00000001617.12",5.97690152368742,6.06523632087555
"ENSG00000001626.18",6.32759775519348,6.73579745606281
"ENSG00000001629.10",6.09086569410565,6.43487536929956
"ENSG00000001630.18",7.23655441255054,7.31176957837631
"ENSG00000001631.17",7.72963027777284,7.35388648666332
"ENSG00000002016.18",5.90478825719179,6.3750866323358
"ENSG00000002330.14",5.49609511135629,6.11949207794382
"ENSG00000002549.13",5.49609511135629,6.17795343156733
"ENSG00000002586.20",6.30231497792504,6.4183571047952
"ENSG00000002587.10",6.05850342900086,6.77748327736987
"ENSG00000002726.21",5.49609511135629,6.41246984628953
"ENSG00000002746.15",6.07257027734735,7.12701454919071
"ENSG00000002822.16",6.29771321954635,6.40719763907255
"ENSG00000002834.19",6.48644284276209,6.4725816082089
"ENSG00000002919.15",5.84607316069665,5.949575609292
"ENSG00000002933.9",6.07175245860526,6.23455823028012
"ENSG00000003056.8",6.02171171350842,6.01679539466635
"ENSG00000003096.15",6.33988556166064,6.08231355805579
"ENSG00000003137.9",5.79280658240986,6.45937513867438
"ENSG00000003147.19",6.44732988326733,6.35608227887595
"ENSG00000003249.15",6.34990809831737,6.00131574907275
"ENSG00000003393.16",8.21586365156203,8.35543577516733
"ENSG00000003400.16",7.49272813193036,7.46591054838088
"ENSG00000003402.21",8.95956240582246,10.2423865483857
"ENSG00000003436.16",9.23276491844047,8.42095956948186
"ENSG00000003509.16",6.35491202984496,6.48082803209868
"ENSG00000003756.17",6.70210669686115,6.84835413680371
"ENSG00000003987.14",6.01898705291154,6.22227969050589
"ENSG00000003989.18",6.25831979546251,6.39065205290501
"ENSG00000004139.14",6.48307091980159,6.61785887421928
"ENSG00000004142.12",5.49609511135629,6.11949207794382
"ENSG00000004399.13",5.78780540729028,6.06150588561
"ENSG00000004455.18",7.43718606377054,7.42105330349392
"ENSG00000004468.13",6.16815755342227,6.62140519479265
"ENSG00000004478.8",6.92430985453609,6.22851161778371
"ENSG00000004487.18",7.71471686886249,7.88051316897368
"ENSG00000004534.15",6.83727515104051,6.85100810755729
"ENSG00000004660.15",7.16834499564867,6.78851247010007
"ENSG00000004766.17",6.53990715056128,6.53262146933211
"ENSG00000004779.10",5.91314412584444,6.11470157317524
"ENSG00000004799.8",6.03020094880821,6.45710265844211
